"CORE_BODY_TEMP_IN_C","TIMESTAMP","TIME","DATE"
37.0000000000000000000,2023-03-08 07:36:23.000,"07:36:23","2023-03-08"
37.0000000000000000000,2023-03-08 08:18:22.000,"08:18:22","2023-03-08"
37.0000000000000000000,2023-03-08 08:19:22.000,"08:19:22","2023-03-08"
37.0000000000000000000,2023-03-08 08:20:22.000,"08:20:22","2023-03-08"
37.0000000000000000000,2023-03-08 08:21:22.000,"08:21:22","2023-03-08"
37.0000000000000000000,2023-03-08 08:22:22.000,"08:22:22","2023-03-08"
37.0000000000000000000,2023-03-08 08:23:22.000,"08:23:22","2023-03-08"
37.0800000000000000000,2023-03-08 08:24:22.000,"08:24:22","2023-03-08"
37.1400000000000000000,2023-03-08 08:25:22.000,"08:25:22","2023-03-08"
37.1800000000000000000,2023-03-08 08:26:22.000,"08:26:22","2023-03-08"
37.2100000000000000000,2023-03-08 08:27:22.000,"08:27:22","2023-03-08"
37.2400000000000000000,2023-03-08 08:28:22.000,"08:28:22","2023-03-08"
37.2600000000000000000,2023-03-08 08:29:22.000,"08:29:22","2023-03-08"
37.2800000000000000000,2023-03-08 08:30:22.000,"08:30:22","2023-03-08"
37.2900000000000000000,2023-03-08 08:31:22.000,"08:31:22","2023-03-08"
37.3000000000000000000,2023-03-08 08:32:22.000,"08:32:22","2023-03-08"
37.3000000000000000000,2023-03-08 08:33:22.000,"08:33:22","2023-03-08"
37.3000000000000000000,2023-03-08 08:34:22.000,"08:34:22","2023-03-08"
37.3000000000000000000,2023-03-08 08:35:22.000,"08:35:22","2023-03-08"
37.3000000000000000000,2023-03-08 08:36:22.000,"08:36:22","2023-03-08"
37.3000000000000000000,2023-03-08 08:37:22.000,"08:37:22","2023-03-08"
37.2900000000000000000,2023-03-08 08:38:22.000,"08:38:22","2023-03-08"
37.2900000000000000000,2023-03-08 08:39:22.000,"08:39:22","2023-03-08"
37.2900000000000000000,2023-03-08 08:40:23.000,"08:40:23","2023-03-08"
37.2800000000000000000,2023-03-08 08:41:23.000,"08:41:23","2023-03-08"
37.2700000000000000000,2023-03-08 08:42:23.000,"08:42:23","2023-03-08"
37.2700000000000000000,2023-03-08 08:43:23.000,"08:43:23","2023-03-08"
37.2700000000000000000,2023-03-08 08:44:22.000,"08:44:22","2023-03-08"
37.2600000000000000000,2023-03-08 08:45:22.000,"08:45:22","2023-03-08"
37.2600000000000000000,2023-03-08 08:46:22.000,"08:46:22","2023-03-08"
37.2500000000000000000,2023-03-08 08:47:22.000,"08:47:22","2023-03-08"
37.2500000000000000000,2023-03-08 08:48:22.000,"08:48:22","2023-03-08"
37.2400000000000000000,2023-03-08 08:49:22.000,"08:49:22","2023-03-08"
37.2400000000000000000,2023-03-08 08:50:23.000,"08:50:23","2023-03-08"
37.2400000000000000000,2023-03-08 08:51:23.000,"08:51:23","2023-03-08"
37.2300000000000000000,2023-03-08 08:52:23.000,"08:52:23","2023-03-08"
37.2300000000000000000,2023-03-08 08:53:23.000,"08:53:23","2023-03-08"
37.2300000000000000000,2023-03-08 08:54:23.000,"08:54:23","2023-03-08"
37.2300000000000000000,2023-03-08 08:55:23.000,"08:55:23","2023-03-08"
37.2300000000000000000,2023-03-08 08:56:23.000,"08:56:23","2023-03-08"
37.2400000000000000000,2023-03-08 08:57:23.000,"08:57:23","2023-03-08"
37.2400000000000000000,2023-03-08 08:58:23.000,"08:58:23","2023-03-08"
37.2400000000000000000,2023-03-08 08:59:23.000,"08:59:23","2023-03-08"
37.2400000000000000000,2023-03-08 09:00:23.000,"09:00:23","2023-03-08"
37.2400000000000000000,2023-03-08 09:01:23.000,"09:01:23","2023-03-08"
37.2400000000000000000,2023-03-08 09:02:23.000,"09:02:23","2023-03-08"
37.2500000000000000000,2023-03-08 09:03:23.000,"09:03:23","2023-03-08"
37.2500000000000000000,2023-03-08 09:04:23.000,"09:04:23","2023-03-08"
37.2600000000000000000,2023-03-08 09:05:23.000,"09:05:23","2023-03-08"
37.2600000000000000000,2023-03-08 09:06:23.000,"09:06:23","2023-03-08"
37.2700000000000000000,2023-03-08 09:07:23.000,"09:07:23","2023-03-08"
37.2800000000000000000,2023-03-08 09:08:23.000,"09:08:23","2023-03-08"
37.2900000000000000000,2023-03-08 09:09:23.000,"09:09:23","2023-03-08"
37.3000000000000000000,2023-03-08 09:10:23.000,"09:10:23","2023-03-08"
37.3100000000000000000,2023-03-08 09:11:23.000,"09:11:23","2023-03-08"
37.3100000000000000000,2023-03-08 09:12:23.000,"09:12:23","2023-03-08"
37.3200000000000000000,2023-03-08 09:13:23.000,"09:13:23","2023-03-08"
37.3300000000000000000,2023-03-08 09:14:23.000,"09:14:23","2023-03-08"
37.3400000000000000000,2023-03-08 09:15:23.000,"09:15:23","2023-03-08"
37.3500000000000000000,2023-03-08 09:16:23.000,"09:16:23","2023-03-08"
37.3600000000000000000,2023-03-08 09:17:23.000,"09:17:23","2023-03-08"
37.3600000000000000000,2023-03-08 09:18:23.000,"09:18:23","2023-03-08"
37.3700000000000000000,2023-03-08 09:19:23.000,"09:19:23","2023-03-08"
37.3800000000000000000,2023-03-08 09:20:23.000,"09:20:23","2023-03-08"
37.3900000000000000000,2023-03-08 09:21:23.000,"09:21:23","2023-03-08"
37.4000000000000000000,2023-03-08 09:22:23.000,"09:22:23","2023-03-08"
37.4100000000000000000,2023-03-08 09:23:23.000,"09:23:23","2023-03-08"
37.4200000000000000000,2023-03-08 09:24:23.000,"09:24:23","2023-03-08"
37.4300000000000000000,2023-03-08 09:25:23.000,"09:25:23","2023-03-08"
