"ID","TIME","TIMESTAMP","HEARTRATE_IN_BPM","POWER_IN_WATT","CADENCE_IN_RPM","DATE","TOTAL_HEMOGLOBIN_CONCENTRATION_IN_GDL","SATURATED_HEMOGLOBIN_IN_PERC","WORKOUT_TIME_IN_MIN"
994,09:07:46,2023-05-17 09:07:46.000,112.0,208.0,160,2023-05-17,13.19,18.9,"0:16"
995,09:07:47,2023-05-17 09:07:47.000,112.0,206.0,160,2023-05-17,13.18,17.7,"0:16"
996,09:07:48,2023-05-17 09:07:48.000,112.0,203.0,160,2023-05-17,13.18,17.1,"0:16"
997,09:07:49,2023-05-17 09:07:49.000,112.0,202.0,162,2023-05-17,13.19,16.8,"0:16"
998,09:07:50,2023-05-17 09:07:50.000,112.0,207.0,164,2023-05-17,13.19,16.8,"0:16"
999,09:07:51,2023-05-17 09:07:51.000,112.0,215.0,166,2023-05-17,13.2,16.9,"0:16"
1000,09:07:52,2023-05-17 09:07:52.000,112.0,223.0,170,2023-05-17,13.19,16.8,"0:16"
1001,09:07:53,2023-05-17 09:07:53.000,112.0,233.0,172,2023-05-17,13.18,16.4,"0:16"
1074,09:09:06,2023-05-17 09:09:06.000,112.0,209.0,180,2023-05-17,13.17,18.5,"0:17"
1081,09:09:13,2023-05-17 09:09:13.000,112.0,208.0,182,2023-05-17,13.14,11.7,"0:18"
1082,09:09:14,2023-05-17 09:09:14.000,112.0,206.0,182,2023-05-17,13.14,11.0,"0:18"
1083,09:09:15,2023-05-17 09:09:15.000,112.0,204.0,180,2023-05-17,13.13,10.5,"0:18"
1084,09:09:16,2023-05-17 09:09:16.000,112.0,204.0,180,2023-05-17,13.13,10.0,"0:18"
1108,09:09:40,2023-05-17 09:09:40.000,112.0,202.0,172,2023-05-17,13.13,5.7,"0:18"
1109,09:09:41,2023-05-17 09:09:41.000,112.0,201.0,172,2023-05-17,13.13,5.1,"0:18"
1112,09:09:44,2023-05-17 09:09:44.000,112.0,203.0,170,2023-05-17,13.12,4.5,"0:18"
1113,09:09:45,2023-05-17 09:09:45.000,112.0,203.0,170,2023-05-17,13.12,4.8,"0:18"
1160,09:10:32,2023-05-17 09:10:32.000,112.0,202.0,164,2023-05-17,13.11,16.6,"0:19"
1161,09:10:33,2023-05-17 09:10:33.000,112.0,205.0,164,2023-05-17,13.1,16.2,"0:19"
1162,09:10:34,2023-05-17 09:10:34.000,112.0,205.0,164,2023-05-17,13.11,16.8,"0:19"
1163,09:10:35,2023-05-17 09:10:35.000,112.0,206.0,164,2023-05-17,13.13,17.6,"0:19"
1174,09:10:46,2023-05-17 09:10:46.000,112.0,202.0,164,2023-05-17,13.12,20.8,"0:19"
1175,09:10:47,2023-05-17 09:10:47.000,112.0,206.0,164,2023-05-17,13.13,21.2,"0:19"
1176,09:10:48,2023-05-17 09:10:48.000,112.0,201.0,164,2023-05-17,13.13,20.7,"0:19"
1177,09:10:49,2023-05-17 09:10:49.000,112.0,198.0,166,2023-05-17,13.14,20.0,"0:19"
1178,09:10:50,2023-05-17 09:10:50.000,112.0,194.0,166,2023-05-17,13.14,19.6,"0:19"
1179,09:10:51,2023-05-17 09:10:51.000,112.0,190.0,166,2023-05-17,13.15,19.3,"0:19"
1197,09:11:09,2023-05-17 09:11:09.000,112.0,196.0,168,2023-05-17,13.13,19.6,"0:19"
1198,09:11:10,2023-05-17 09:11:10.000,112.0,197.0,168,2023-05-17,13.14,19.7,"0:19"
1199,09:11:11,2023-05-17 09:11:11.000,112.0,200.0,170,2023-05-17,13.15,20.4,"0:19"
1202,09:11:14,2023-05-17 09:11:14.000,112.0,200.0,170,2023-05-17,13.16,19.7,"0:20"
1203,09:11:15,2023-05-17 09:11:15.000,112.0,196.0,170,2023-05-17,13.15,19.6,"0:20"
1204,09:11:16,2023-05-17 09:11:16.000,112.0,194.0,168,2023-05-17,13.15,19.3,"0:20"
1210,09:11:22,2023-05-17 09:11:22.000,112.0,197.0,168,2023-05-17,13.15,19.8,"0:20"
1211,09:11:23,2023-05-17 09:11:23.000,112.0,193.0,168,2023-05-17,13.15,20.2,"0:20"
1216,09:11:28,2023-05-17 09:11:28.000,112.0,202.0,168,2023-05-17,13.16,18.9,"0:20"
1217,09:11:29,2023-05-17 09:11:29.000,112.0,200.0,168,2023-05-17,13.15,18.1,"0:20"
1218,09:11:30,2023-05-17 09:11:30.000,112.0,197.0,168,2023-05-17,13.15,17.7,"0:20"
1219,09:11:31,2023-05-17 09:11:31.000,112.0,194.0,168,2023-05-17,13.15,17.5,"0:20"
1220,09:11:32,2023-05-17 09:11:32.000,112.0,191.0,168,2023-05-17,13.14,16.7,"0:20"
1221,09:11:33,2023-05-17 09:11:33.000,112.0,192.0,168,2023-05-17,13.13,15.9,"0:20"
1222,09:11:34,2023-05-17 09:11:34.000,112.0,197.0,170,2023-05-17,13.13,15.3,"0:20"
1223,09:11:35,2023-05-17 09:11:35.000,112.0,198.0,168,2023-05-17,13.12,14.8,"0:20"
1243,09:11:55,2023-05-17 09:11:55.000,112.0,247.0,160,2023-05-17,13.15,16.3,"0:20"
1244,09:11:56,2023-05-17 09:11:56.000,112.0,266.0,156,2023-05-17,13.15,15.9,"0:20"
1245,09:11:57,2023-05-17 09:11:57.000,112.0,274.0,156,2023-05-17,13.15,14.5,"0:20"
1246,09:11:58,2023-05-17 09:11:58.000,112.0,274.0,154,2023-05-17,13.15,13.7,"0:20"
1247,09:11:59,2023-05-17 09:11:59.000,112.0,268.0,154,2023-05-17,13.16,12.9,"0:20"
