"AVERAGE_HEARTRATE_IN_BPM","AVERAGE_POWER_IN_WATT","AVG_CADENCE_IN_RPM","INTERVAL_ID","DATE","AVERAGE_TOTAL_HEMOGLOBIN_CONCENTRATION","INTERVAL_DESCRIPTION","INTERVAL_TYPE","TIME_TIMER","TIME_ELAPSED","AVERAGE_SATURATED_HEMOGLOBIN_IN_PERC","TIMESTAMP_END","TIMESTAMP_START"
109.000000,200.00,168,10,2023-04-19,13.13,"00 I Warm Up",Warm Up,2774.0,3102.0,42.1,2023-04-19 09:51:43.000,2023-04-19 09:00:01.000
139.000000,330.00,176,1,2023-04-19,13.11,"01 I Interval 1",Interval,601.0,601.0,17.5,2023-04-19 10:01:44.000,2023-04-19 09:51:43.000
108.000000,176.00,156,11,2023-04-19,13.16,"02 I Pause 1",Pause,479.0,479.0,38.8,2023-04-19 10:09:43.000,2023-04-19 10:01:44.000
142.000000,335.00,170,2,2023-04-19,12.37,"03 I Interval 2",Interval,600.0,600.0,14.3,2023-04-19 10:19:43.000,2023-04-19 10:09:43.000
106.000000,155.00,170,12,2023-04-19,13.12,"04 I Pause 2",Pause,480.0,480.0,31.8,2023-04-19 10:27:43.000,2023-04-19 10:19:43.000
143.000000,333.00,170,3,2023-04-19,11.94,"05 I Interval 3",Interval,601.0,601.0,3.7,2023-04-19 10:37:44.000,2023-04-19 10:27:43.000
116.000000,191.00,164,13,2023-04-19,13.12,"06 I Pause 3",Pause,479.0,479.0,31.6,2023-04-19 10:45:43.000,2023-04-19 10:37:44.000
144.000000,335.00,166,4,2023-04-19,12.91,"07 I Interval 4",Interval,601.0,601.0,8.0,2023-04-19 10:55:44.000,2023-04-19 10:45:43.000
116.000000,186.00,162,14,2023-04-19,13.1,"08 I Pause 4",Pause,479.0,479.0,33.9,2023-04-19 11:03:43.000,2023-04-19 10:55:44.000
143.000000,338.00,166,5,2023-04-19,10.96,"09 I Interval 5",Interval,600.0,600.0,3.6,2023-04-19 11:13:43.000,2023-04-19 11:03:43.000
117.000000,186.00,162,15,2023-04-19,13.15,"10 I Pause 5",Pause,480.0,480.0,35.1,2023-04-19 11:21:43.000,2023-04-19 11:13:43.000
146.000000,341.00,166,6,2023-04-19,12.53,"11 I Interval 6",Interval,600.0,600.0,4.8,2023-04-19 11:31:43.000,2023-04-19 11:21:43.000
111.000000,150.00,166,16,2023-04-19,13.11,"12 I Pause 6",Pause,480.0,480.0,39.7,2023-04-19 11:39:43.000,2023-04-19 11:31:43.000
116.000000,201.00,166,20,2023-04-19,13.15,"13 I Cool Down",Cool Down,1599.0,1599.0,38.6,2023-04-19 12:06:22.000,2023-04-19 11:39:43.000
