"CORE_BODY_TEMP_IN_C","TIMESTAMP","TIME","DATE"
37.7100000000000000000,2023-04-19 12:05:28.000,"12:05:28","2023-04-19"
37.7300000000000000000,2023-04-19 12:06:28.000,"12:06:28","2023-04-19"
37.7400000000000000000,2023-04-19 12:07:28.000,"12:07:28","2023-04-19"
37.7600000000000000000,2023-04-19 12:08:28.000,"12:08:28","2023-04-19"
37.7800000000000000000,2023-04-19 12:09:28.000,"12:09:28","2023-04-19"
37.8000000000000000000,2023-04-19 12:10:28.000,"12:10:28","2023-04-19"
37.8200000000000000000,2023-04-19 12:11:28.000,"12:11:28","2023-04-19"
37.8400000000000000000,2023-04-19 12:12:28.000,"12:12:28","2023-04-19"
37.8500000000000000000,2023-04-19 12:13:28.000,"12:13:28","2023-04-19"
37.8600000000000000000,2023-04-19 12:14:28.000,"12:14:28","2023-04-19"
37.8600000000000000000,2023-04-19 12:15:28.000,"12:15:28","2023-04-19"
37.8600000000000000000,2023-04-19 12:16:28.000,"12:16:28","2023-04-19"
37.8700000000000000000,2023-04-19 12:17:28.000,"12:17:28","2023-04-19"
37.8700000000000000000,2023-04-19 12:18:28.000,"12:18:28","2023-04-19"
37.8800000000000000000,2023-04-19 12:19:28.000,"12:19:28","2023-04-19"
37.8900000000000000000,2023-04-19 12:20:28.000,"12:20:28","2023-04-19"
37.8900000000000000000,2023-04-19 12:21:27.000,"12:21:27","2023-04-19"
37.9100000000000000000,2023-04-19 12:22:27.000,"12:22:27","2023-04-19"
37.9200000000000000000,2023-04-19 12:23:27.000,"12:23:27","2023-04-19"
37.9400000000000000000,2023-04-19 12:24:27.000,"12:24:27","2023-04-19"
37.9400000000000000000,2023-04-19 12:25:27.000,"12:25:27","2023-04-19"
37.9500000000000000000,2023-04-19 12:26:27.000,"12:26:27","2023-04-19"
37.9600000000000000000,2023-04-19 12:27:27.000,"12:27:27","2023-04-19"
37.9600000000000000000,2023-04-19 12:28:27.000,"12:28:27","2023-04-19"
37.9700000000000000000,2023-04-19 12:29:27.000,"12:29:27","2023-04-19"
37.9800000000000000000,2023-04-19 12:30:27.000,"12:30:27","2023-04-19"
37.9700000000000000000,2023-04-19 12:31:27.000,"12:31:27","2023-04-19"
37.9700000000000000000,2023-04-19 12:32:27.000,"12:32:27","2023-04-19"
37.9600000000000000000,2023-04-19 12:33:27.000,"12:33:27","2023-04-19"
37.9500000000000000000,2023-04-19 12:34:27.000,"12:34:27","2023-04-19"
37.9400000000000000000,2023-04-19 12:35:27.000,"12:35:27","2023-04-19"
37.9300000000000000000,2023-04-19 12:36:27.000,"12:36:27","2023-04-19"
37.9200000000000000000,2023-04-19 12:37:27.000,"12:37:27","2023-04-19"
37.9100000000000000000,2023-04-19 12:38:27.000,"12:38:27","2023-04-19"
37.9100000000000000000,2023-04-19 12:39:27.000,"12:39:27","2023-04-19"
37.9300000000000000000,2023-04-19 12:40:27.000,"12:40:27","2023-04-19"
37.9500000000000000000,2023-04-19 12:41:27.000,"12:41:27","2023-04-19"
37.9700000000000000000,2023-04-19 12:42:27.000,"12:42:27","2023-04-19"
37.9900000000000000000,2023-04-19 12:43:27.000,"12:43:27","2023-04-19"
38.0100000000000000000,2023-04-19 12:44:27.000,"12:44:27","2023-04-19"
38.0200000000000000000,2023-04-19 12:45:27.000,"12:45:27","2023-04-19"
38.0400000000000000000,2023-04-19 12:46:27.000,"12:46:27","2023-04-19"
38.0600000000000000000,2023-04-19 12:47:27.000,"12:47:27","2023-04-19"
38.0500000000000000000,2023-04-19 12:48:27.000,"12:48:27","2023-04-19"
38.0400000000000000000,2023-04-19 12:49:27.000,"12:49:27","2023-04-19"
38.0400000000000000000,2023-04-19 12:50:27.000,"12:50:27","2023-04-19"
38.0300000000000000000,2023-04-19 12:51:27.000,"12:51:27","2023-04-19"
38.0100000000000000000,2023-04-19 12:52:27.000,"12:52:27","2023-04-19"
38.0000000000000000000,2023-04-19 12:53:27.000,"12:53:27","2023-04-19"
37.9800000000000000000,2023-04-19 12:54:27.000,"12:54:27","2023-04-19"
37.9600000000000000000,2023-04-19 12:55:27.000,"12:55:27","2023-04-19"
37.9400000000000000000,2023-04-19 12:56:27.000,"12:56:27","2023-04-19"
37.9200000000000000000,2023-04-19 12:57:27.000,"12:57:27","2023-04-19"
37.9100000000000000000,2023-04-19 12:58:27.000,"12:58:27","2023-04-19"
37.9000000000000000000,2023-04-19 12:59:27.000,"12:59:27","2023-04-19"
37.8900000000000000000,2023-04-19 13:00:27.000,"13:00:27","2023-04-19"
37.8800000000000000000,2023-04-19 13:01:27.000,"13:01:27","2023-04-19"
37.8800000000000000000,2023-04-19 13:02:27.000,"13:02:27","2023-04-19"
37.8800000000000000000,2023-04-19 13:03:27.000,"13:03:27","2023-04-19"
37.8900000000000000000,2023-04-19 13:04:27.000,"13:04:27","2023-04-19"
